idNotaFiscal, idPedido, DataVenda, idCliente, ValorItens, ValorDesconto, ValorTotal
NF01, PED01, 09/01/2021, CI1, 295.95, 35.51, 260.44
NF02, PED04, 20/02/2021, CI2, 255.00, 17.85, 237.15
NF04, PED05, 21/02/2021, CI1, 66.50, 0.67, 65.84
NF05, PED08, 20/02/2021, CI2, 275.79, 30.34, 245.45
NF06, PED09, 20/02/2021, CI3, 127.50, 3.83, 123.68
NF07, PED11, 21/02/2021, CI4, 244.43, 9.78, 234.65
NF08, PED12, 21/02/2021, CI4, 65.89, 9.88, 56.01
NF09, PED14, 27/02/2021, CI1, 702.87, 91.37, 611.50
NF10, PED15, 04/04/2021, CI2, 52.50, 1.05, 51.45
NF11, PED16, 04/04/2021, CI2, 243.00, 31.59, 211.41
NF12, PED19, 04/04/2021, CI1, 263.56, 18.45, 245.11
NF13, PED20, 04/04/2021, CI4, 22.80, 1.82, 20.98
NF14, PED22, 17/04/2021, CI1, 119.00, 1.19, 117.81
NF15, PED24, 17/04/2021, CI2, 263.56, 26.36, 237.20
NF16, PED25, 19/04/2021, CI3, 115.83, 2.32, 113.51
NF17, PED26, 19/04/2021, CI4, 108.80, 4.35, 104.45
NF18, PED30, 06/05/2021, CI5, 72.00, 5.76, 66.24
NF19, PED31, 06/05/2021, CI5, 117.25, 12.90, 104.35
NF20, PED35, 06/05/2021, CI6, 88.83, 8.88, 79.95
NF21, PED36, 12/05/2021, CI2, 849.00, 127.35, 721.65
