idNotaFiscal;idProduto;Quantidade;ValorUnitario;ValorItem
NF01;Prod10;45;5.99;269.55
NF01;Prod6;22;1.20;26.40
NF02;Prod3;34;7.50;255.00
NF02;Prod8;38;1.75;66.50
NF04;Prod8;48;1.60;76.80
NF05;Prod9;67;2.97;198.99
NF05;Prod3;17;7.50;127.50
NF06;Prod3;37;5.99;221.63
NF07;Prod10;19;1.20;22.80
NF07;Prod6;11;5.99;65.89
NF08;Prod4;29;23.63;685.27
NF09;Prod1;11;1.60;17.60
NF09;Prod9;19;1.60;243.00
NF10;Prod3;7;7.50;52.50
NF11;Prod5;54;4.50;243.00
NF12;Prod10;44;5.99;263.56
NF13;Prod6;68;1.20;22.80
NF14;Prod10;44;1.75;119.00
NF15;Prod10;39;5.99;263.56
NF16;Prod9;68;2.97;115.83
NF17;Prod1;39;1.60;108.80
